game_id,move_number,fen,move_uci,eval_cp,turn
1,46,5k2/pp2pp1p/2p3p1/8/1P6/2P1R2P/2r2PP1/6K1 b - - 2 23,e7e6,384,black
1,47,5k2/pp3p1p/2p1p1p1/8/1P6/2P1R2P/2r2PP1/6K1 w - - 0 24,g2g4,-386,white
1,48,5k2/pp3p1p/2p1p1p1/8/1P4P1/2P1R2P/2r2P2/6K1 b - - 0 24,f8e7,382,black
1,49,8/pp2kp1p/2p1p1p1/8/1P4P1/2P1R2P/2r2P2/6K1 w - - 1 25,g1g2,-379,white
1,50,8/pp2kp1p/2p1p1p1/8/1P4P1/2P1R2P/2r2PK1/8 b - - 2 25,b7b6,391,black
1,51,8/p3kp1p/1pp1p1p1/8/1P4P1/2P1R2P/2r2PK1/8 w - - 0 26,g2f3,-380,white
1,52,8/p3kp1p/1pp1p1p1/8/1P4P1/2P1RK1P/2r2P2/8 b - - 1 26,c6c5,433,black
1,53,8/p3kp1p/1p2p1p1/2p5/1P4P1/2P1RK1P/2r2P2/8 w - - 0 27,b4c5,-355,white
1,54,8/p3kp1p/1p2p1p1/2P5/6P1/2P1RK1P/2r2P2/8 b - - 0 27,b6c5,354,black
1,55,8/p3kp1p/4p1p1/2p5/6P1/2P1RK1P/2r2P2/8 w - - 0 28,f3g3,-375,white
1,56,8/p3kp1p/4p1p1/2p5/6P1/2P1R1KP/2r2P2/8 b - - 1 28,a7a5,429,black
1,57,8/4kp1p/4p1p1/p1p5/6P1/2P1R1KP/2r2P2/8 w - - 0 29,f2f4,-449,white
1,58,8/4kp1p/4p1p1/p1p5/5PP1/2P1R1KP/2r5/8 b - - 0 29,a5a4,466,black
1,59,8/4kp1p/4p1p1/2p5/p4PP1/2P1R1KP/2r5/8 w - - 0 30,f4f5,-475,white
1,60,8/4kp1p/4p1p1/2p2P2/p5P1/2P1R1KP/2r5/8 b - - 0 30,g6f5,539,black
1,61,8/4kp1p/4p3/2p2p2/p5P1/2P1R1KP/2r5/8 w - - 0 31,g4f5,-527,white
1,62,8/4kp1p/4p3/2p2P2/p7/2P1R1KP/2r5/8 b - - 0 31,a4a3,515,black
1,63,8/4kp1p/4p3/2p2P2/8/p1P1R1KP/2r5/8 w - - 0 32,c3c4,-511,white
1,64,8/4kp1p/4p3/2p2P2/2P5/p3R1KP/2r5/8 b - - 0 32,a3a2,562,black
1,65,8/4kp1p/4p3/2p2P2/2P5/4R1KP/p1r5/8 w - - 0 33,e3a3,-593,white
1,66,8/4kp1p/4p3/2p2P2/2P5/R5KP/p1r5/8 b - - 1 33,c2c3,646,black
1,67,8/4kp1p/4p3/2p2P2/2P5/R1r3KP/p7/8 w - - 2 34,a3c3,-660,white
1,68,8/4kp1p/4p3/2p2P2/2P5/2R3KP/p7/8 b - - 0 34,a2a1q,654,black
1,69,8/4kp1p/4p3/2p2P2/2P5/2R3KP/8/q7 w - - 0 35,f5e6,-690,white
1,70,8/4kp1p/4P3/2p5/2P5/2R3KP/8/q7 b - - 0 35,a1c3,1343,black
1,1,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,50,white
1,2,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e5,-48,black
1,3,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,g1f3,38,white
1,4,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,b8c6,-36,black
1,5,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,f1b5,35,white
1,6,r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,g8f6,-35,black
1,7,r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,e1g1,37,white
1,8,r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 5 4,f6e4,-31,black
1,9,r1bqkb1r/pppp1ppp/2n5/1B2p3/4n3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 0 5,f1e1,33,white
1,10,r1bqkb1r/pppp1ppp/2n5/1B2p3/4n3/5N2/PPPP1PPP/RNBQR1K1 b kq - 1 5,e4d6,-28,black
1,11,r1bqkb1r/pppp1ppp/2nn4/1B2p3/8/5N2/PPPP1PPP/RNBQR1K1 w kq - 2 6,f3e5,29,white
